Block,1,2,3,4,5,6
ZB7,384.69,429.39,437.93,435.41,688.5,893.92
ZB5,301.04,387.1,403.68,401.64,686.27,895.88
ZB6,261.74,463.31,485.14,477.86,788.64,990.45
S1A,553.63,765.53,779.34,772.06,1043.64,1249.4
S1C,470.22,676.41,695.59,691.84,965.43,1169.92
S1D,513.73,741.01,749.78,734.77,1023.8,1222.28
S1E,406.57,633.21,654.46,642.57,928.1,1130.52
S1J,142.95,386.86,406.24,396.62,668.16,876.57
S1H,197.13,434.71,440.74,430.52,714.97,924.94
S1G,276.12,493.28,508.9,498.88,774.66,987.51
S1F,296.22,514.18,532.85,538.64,828.71,1015.49
Z4,558.71,555.1,573.31,158.06,259.27,470.36
ZB2,286.9,333.27,369.15,364.66,634.03,851.39
ZB3,211.57,422.15,450.24,448.55,727.52,930.16
S1B,581.43,793.53,821.65,812.18,1097.28,1306.06
CP3,424.89,417.73,443.78,291.49,401.05,613.96
Z3B,474.87,483.47,499.81,219.2,336.87,538.3
Z3A,411.66,409.19,422.55,34.41,286.33,490.85